,Date,Calories,Fat (g),Carbohydrates (g),Protein (g)
2,2020-12-14,350.0,2.0,54.0,22.0
3,2020-12-14,185.2,0.2,44.5,0.1
4,2020-12-15,1158.0,90.8,34.4,40.6
5,2020-12-15,186.5,0.6,26.0,0.2
6,2020-12-16,700.0,33.0,64.0,35.0
7,2020-12-16,555.2,12.8,80.3,22.8
8,2020-12-17,747.3,31.3,82.0,21.4
9,2020-12-17,522.0,9.2,57.9,54.2
10,2020-12-17,546.4,37.6,36.6,20.1
11,2020-12-17,441.2,23.1,46.2,15.9
12,2020-12-18,640.0,17.6,113.5,11.3
13,2020-12-18,1037.1,75.0,44.4,47.8
14,2020-12-18,179.0,14.7,5.8,7.2
15,2020-12-18,380.0,3.0,37.6,57.6
16,2020-12-19,1903.6,111.2,198.2,29.5
17,2020-12-19,188.7,10.1,14.8,9.7
18,2020-12-20,885.0,48.4,107.9,18.9
19,2020-12-20,320.0,15.1,28.9,15.4
20,2020-12-20,844.2,53.2,91.3,7.6
21,2020-12-21,460.2,14.4,34.9,55.4
22,2020-12-21,255.0,9.4,43.1,10.8
23,2020-12-23,240.0,0.0,50.8,6.2
24,2020-12-23,839.0,21.7,95.8,39.3
25,2020-12-23,151.0,6.2,21.8,2.2
26,2020-12-23,245.0,11.0,34.0,3.0
27,2020-12-24,240.0,0.0,50.8,6.2
28,2020-12-24,586.0,23.5,30.2,17.4
29,2020-12-24,679.0,14.4,90.4,42.0
30,2020-12-24,204.0,9.0,29.4,2.4
31,2020-12-25,240.0,0.0,50.8,6.2
32,2020-12-25,910.4,29.3,115.5,11.1
33,2020-12-25,567.2,18.8,68.2,25.8
34,2020-12-25,368.0,18.9,47.8,4.2
35,2020-12-26,240.0,0.0,50.8,6.2
36,2020-12-26,670.0,23.6,67.8,30.5
37,2020-12-26,917.0,33.8,97.1,48.7
38,2020-12-26,504.0,27.0,61.4,4.4
39,2020-12-27,301.2,2.6,57.3,9.8
40,2020-12-27,498.0,15.7,43.8,48.0
41,2020-12-27,1272.7,66.5,140.1,32.2
42,2020-12-28,514.5,21.3,73.3,7.8
43,2020-12-28,1832.9,112.3,149.2,57.8
44,2020-12-28,313.0,5.9,64.8,37.1
45,2020-12-29,476.0,24.2,49.0,16.6
46,2020-12-29,541.8,14.0,101.7,46.0
47,2020-12-29,986.5,43.2,125.8,16.7
48,2020-12-29,85.0,0.0,20.5,0.0
49,2020-12-30,594.0,38.1,39.0,20.9
50,2020-12-30,308.9,10.8,40.5,11.3
51,2020-12-30,1376.6,78.8,86.1,22.7
52,2020-12-30,632.0,30.7,78.1,7.7
53,2020-12-31,766.8,39.8,28.8,2.0
54,2020-12-31,927.0,46.7,98.3,27.8
55,2020-12-31,600.0,27.4,77.9,9.2
56,2021-01-01,610.0,15.4,99.0,13.8
57,2021-01-01,510.0,27.0,63.0,12.0
58,2021-01-01,494.0,21.6,70.2,5.7
59,2021-01-01,356.4,21.8,38.2,2.8
60,2021-01-02,960.6,27.8,155.9,19.8
61,2021-01-02,758.8,30.7,97.7,29.0
62,2021-01-02,184.5,4.2,29.9,8.5
63,2021-01-03,326.0,2.6,61.8,9.4
64,2021-01-03,313.3,15.8,34.6,10.9
65,2021-01-03,733.0,20.5,111.4,25.8
66,2021-01-03,538.5,23.2,66.6,14.7
67,2021-01-04,516.6,2.4,120.0,11.4
68,2021-01-04,326.0,2.6,61.8,9.4
69,2021-01-04,740.7,28.1,97.2,29.4
70,2021-01-04,541.0,29.0,65.3,5.8
71,2021-01-05,1015.1,7.5,197.8,30.6
72,2021-01-05,112.5,4.0,10.8,8.1
73,2021-01-05,642.1,25.9,83.9,17.4
74,2021-01-05,344.3,15.2,40.2,11.3
75,2021-01-06,811.3,6.2,160.0,24.6
76,2021-01-06,225.0,8.0,21.6,16.2
77,2021-01-06,68.0,0.3,15.9,1.2
78,2021-01-06,402.2,13.9,64.7,3.8
79,2021-01-07,514.9,16.9,75.9,13.8
80,2021-01-07,414.0,7.2,79.0,1.9
81,2021-01-07,556.3,20.5,74.8,20.0
82,2021-01-07,48.8,0.0,12.6,0.0
83,2021-01-08,523.8,7.7,92.0,18.0
84,2021-01-08,416.7,24.9,35.0,17.0
85,2021-01-08,620.0,19.0,99.7,9.5
86,2021-01-09,424.0,12.8,69.2,4.4
87,2021-01-09,440.0,9.8,72.4,12.5
88,2021-01-09,300.0,9.8,40.4,12.5
89,2021-01-09,644.8,19.4,99.1,14.2
90,2021-01-10,1111.0,32.6,162.5,38.6
91,2021-01-10,175.0,1.0,32.9,4.7
92,2021-01-10,551.7,14.5,96.8,10.0
93,2021-01-11,88.0,0.0,19.4,1.2
94,2021-01-11,114.0,4.8,16.8,1.5
95,2021-01-12,344.0,9.0,55.4,8.4
96,2021-01-12,88.0,0.0,19.4,1.2
97,2021-01-12,375.0,6.9,71.2,3.3
98,2021-01-12,294.0,13.8,39.6,4.2
99,2021-01-15,204.0,9.0,29.4,2.4
100,2021-01-16,0.0,0.0,0.0,0.0
101,2021-01-17,0.0,0.0,0.0,0.0
102,2021-01-18,0.0,0.0,0.0,0.0
103,2021-01-19,0.0,0.0,0.0,0.0
104,2021-01-20,0.0,0.0,0.0,0.0
105,2021-01-21,0.0,0.0,0.0,0.0
106,2021-01-22,480.0,8.0,77.8,18.4
107,2021-01-22,1144.6,43.1,102.2,22.7
108,2021-01-22,920.8,35.2,86.4,23.8
109,2021-01-22,543.8,24.9,44.0,36.6
110,2021-01-23,575.0,18.7,72.2,24.7
111,2021-01-23,1639.0,60.3,172.5,27.5
112,2021-01-23,938.1,28.3,135.3,23.9
113,2021-01-23,200.0,0.0,48.5,0.0
114,2021-01-24,580.0,16.7,75.0,26.8
115,2021-01-24,1069.9,30.2,105.4,27.4
116,2021-01-24,922.0,45.4,78.7,35.8
117,2021-01-24,548.0,18.0,89.6,5.4
118,2021-01-25,997.0,57.5,170.8,36.4
119,2021-01-25,460.0,12.0,9.6,16.0
120,2021-01-25,1638.3,63.6,137.9,39.2
121,2021-01-25,460.0,12.0,9.6,16.0
122,2021-01-26,1180.0,28.7,116.6,42.8
123,2021-01-26,415.8,7.0,0.0,0.0
124,2021-01-26,1249.3,40.3,124.2,43.5
125,2021-01-27,530.0,14.9,70.2,23.2
126,2021-01-27,1591.8,39.1,110.7,42.7
127,2021-01-27,846.0,30.5,82.4,15.6
128,2021-01-27,475.0,0.0,0.0,0.0
129,2021-01-28,530.0,14.9,70.2,23.2
130,2021-01-28,798.0,29.1,43.8,28.9
131,2021-01-28,1335.8,45.0,128.7,13.3
132,2021-01-28,710.6,20.3,104.4,26.4
133,2021-01-29,380.0,9.5,55.8,12.4
