Date,Exercise Name,Weight,Reps
2024-09-19,Hip Abductor (Machine),55.0,10.0
2024-09-19,Hip Abductor (Machine),65.0,10.0
2024-09-19,Hip Abductor (Machine),65.0,10.0
2024-09-19,Seated Leg Curl (Machine),77.16,8.0
2024-09-19,Seated Leg Curl (Machine),77.16,11.0
2024-09-19,Seated Leg Curl (Machine),77.16,10.0
2024-09-19,Seated Leg Curl (Machine),55.12,7.0
2024-09-19,Seated Leg Curl (Machine),38.58,10.0
2024-09-19,Seated Leg Curl (Machine),44.09,8.0
2024-09-19,Calf Stretch,65.0,1.0
2024-09-19,Calf Stretch,65.0,1.0
2024-09-19,Calf Stretch,65.0,1.0
2024-09-19,Calf Stretch,65.0,1.0
2024-09-23,Lat Pulldown (Cable),33.0,12.0
2024-09-23,Lat Pulldown (Cable),33.0,15.0
2024-09-23,Lat Pulldown (Cable),33.0,13.0
2024-09-23,Lat Pulldown (Cable),33.0,13.0
2024-09-23,Triceps Press down (Rope),11.25,10.0
2024-09-23,Triceps Press down (Rope),11.25,12.0
2024-09-23,Triceps Press down (Rope),11.25,9.0
2024-09-23,Triceps Press down (Rope),11.25,10.0
2024-09-23,Lateral Raise (Dumbbell),2.5,14.0
2024-09-23,Lateral Raise (Dumbbell),2.5,10.0
2024-09-23,Lateral Raise (Dumbbell),2.5,11.0
2024-09-23,Lateral Raise (Dumbbell),2.5,11.0
2024-09-24,Chest Press (Machine),25.0,14.0
2024-09-24,Chest Press (Machine),25.0,11.0
2024-09-24,Chest Press (Machine),25.0,14.0
2024-09-24,Chest Press (Machine),20.0,12.0
2024-09-24,Hammer Curl (Dumbbell),5.0,12.0
2024-09-24,Hammer Curl (Dumbbell),7.5,8.0
2024-09-24,Hammer Curl (Dumbbell),7.0,9.0
2024-09-24,Hammer Curl (Dumbbell),7.5,12.0
2024-09-24,Abdominal Machine,25.0,14.0
2024-09-24,Abdominal Machine,25.0,15.0
2024-09-24,Abdominal Machine,25.0,13.0
2024-09-24,Abdominal Machine,25.0,11.0
2024-09-25,Triceps Press down (Rope),11.25,9.0
2024-09-25,Triceps Press down (Rope),11.25,18.0
2024-09-25,Triceps Press down (Rope),11.25,11.0
2024-09-25,Triceps Press down (Rope),11.25,14.0
2024-09-25,Lateral Raise (Dumbbell),2.5,13.0
2024-09-25,Lateral Raise (Dumbbell),2.5,13.0
2024-09-25,Lateral Raise (Dumbbell),2.5,10.0
2024-09-25,Lateral Raise (Dumbbell),2.5,11.0
2024-09-25,Lat Pulldown (Cable),33.0,12.0
2024-09-25,Lat Pulldown (Cable),33.0,12.0
2024-09-25,Lat Pulldown (Cable),33.0,10.0
2024-09-25,Lat Pulldown (Cable),33.0,10.0
2024-09-25,Calf Stretch,65.0,1.0
2024-09-25,Calf Stretch,65.0,1.0
2024-09-25,Calf Stretch,65.0,1.0
2024-09-25,Calf Stretch,65.0,1.0
2024-09-27,Hammer Curl (Dumbbell),7.0,10.0
2024-09-27,Hammer Curl (Dumbbell),7.0,12.0
2024-09-27,Hammer Curl (Dumbbell),7.0,14.0
2024-09-27,Hammer Curl (Dumbbell),7.0,11.0
2024-09-27,Chest Press (Machine),30.0,13.0
2024-09-27,Chest Press (Machine),30.0,11.0
2024-09-27,Chest Press (Machine),25.0,11.0
2024-09-27,Chest Press (Machine),30.0,9.0
2024-09-27,Abdominal Machine,30.0,11.0
2024-09-27,Abdominal Machine,30.0,9.0
2024-09-27,Abdominal Machine,30.0,10.0
2024-09-27,Calf Stretch,70.0,1.0
2024-09-27,Calf Stretch,70.0,1.0
2024-09-27,Calf Stretch,70.0,1.0
2024-09-27,Calf Stretch,70.0,1.0
2024-09-30,Lat Pulldown (Cable),40.0,7.0
2024-09-30,Lat Pulldown (Cable),33.0,12.0
2024-09-30,Lat Pulldown (Cable),33.0,13.0
2024-09-30,Lat Pulldown (Cable),33.0,12.0
2024-09-30,Triceps Extension (Dumbbell),11.25,13.0
2024-09-30,Triceps Extension (Dumbbell),11.25,11.0
2024-09-30,Triceps Extension (Dumbbell),11.25,10.0
2024-09-30,Triceps Extension (Dumbbell),11.25,10.0
2024-09-30,Lateral Raise (Dumbbell),2.5,10.0
2024-09-30,Lateral Raise (Dumbbell),2.5,9.0
2024-09-30,Lateral Raise (Dumbbell),2.5,10.0
2024-09-30,Lateral Raise (Dumbbell),2.5,13.0
2024-09-30,Hip Abductor (Machine),55.0,10.0
2024-09-30,Hip Abductor (Machine),65.0,6.0
2024-09-30,Hip Abductor (Machine),55.0,10.0
2024-09-30,Leg Extension (Machine),44.09,9.0
2024-09-30,Leg Extension (Machine),44.09,11.0
2024-09-30,Leg Extension (Machine),55.12,6.0
2024-09-30,Seated Leg Curl (Machine),55.12,9.0
2024-09-30,Seated Leg Curl (Machine),55.12,12.0
2024-09-30,Seated Leg Curl (Machine),55.12,15.0
2024-09-30,Calf Stretch,65.0,1.0
2024-09-30,Calf Stretch,65.0,1.0
2024-09-30,Calf Stretch,65.0,1.0
2024-09-30,Calf Stretch,65.0,1.0
2024-10-01,Chest Press (Machine),25.0,11.0
2024-10-01,Chest Press (Machine),30.0,17.0
2024-10-01,Chest Press (Machine),25.0,13.0
2024-10-01,Chest Press (Machine),30.0,8.0
2024-10-01,Abdominal Machine,25.0,13.0
2024-10-01,Abdominal Machine,25.0,12.0
2024-10-01,Abdominal Machine,30.0,8.0
2024-10-01,Hammer Curl (Dumbbell),7.0,14.0
2024-10-01,Hammer Curl (Dumbbell),7.0,9.0
2024-10-01,Hammer Curl (Dumbbell),7.0,13.0
2024-10-01,Hammer Curl (Dumbbell),7.0,13.0
2024-10-02,Lat Pulldown (Cable),22.5,10.0
2024-10-02,Lat Pulldown (Cable),22.5,11.0
2024-10-02,Lat Pulldown (Cable),25.0,9.0
2024-10-02,Lat Pulldown (Cable),22.5,10.0
2024-10-02,Triceps Extension (Dumbbell),5.0,11.0
2024-10-02,Triceps Extension (Dumbbell),5.0,13.0
2024-10-02,Triceps Extension (Dumbbell),5.0,10.0
2024-10-02,Triceps Extension (Dumbbell),5.0,11.0
2024-10-02,Lateral Raise (Dumbbell),2.0,15.0
2024-10-02,Lateral Raise (Dumbbell),2.0,10.0
2024-10-02,Lateral Raise (Dumbbell),2.0,11.0
2024-10-02,Lateral Raise (Dumbbell),2.0,11.0
2024-10-04,Chest Press (Machine),30.0,12.0
2024-10-04,Chest Press (Machine),30.0,13.0
2024-10-04,Chest Press (Machine),25.0,13.0
2024-10-04,Chest Press (Machine),30.0,8.0
2024-10-04,Hammer Curl (Dumbbell),7.0,13.0
2024-10-04,Hammer Curl (Dumbbell),7.0,12.0
2024-10-04,Hammer Curl (Dumbbell),7.0,10.0
2024-10-04,Hammer Curl (Dumbbell),7.0,10.0
2024-10-07,Lat Pulldown (Cable),33.0,12.0
2024-10-07,Lat Pulldown (Cable),33.0,17.0
2024-10-07,Lat Pulldown (Cable),33.0,16.0
2024-10-07,Lat Pulldown (Cable),33.0,14.0
2024-10-07,Lateral Raise (Dumbbell),3.0,11.0
2024-10-07,Lateral Raise (Dumbbell),2.5,10.0
2024-10-07,Lateral Raise (Dumbbell),2.5,9.0
2024-10-07,Lateral Raise (Dumbbell),3.0,8.0
2024-10-07,Triceps Extension (Dumbbell),11.25,13.0
2024-10-07,Triceps Extension (Dumbbell),11.25,14.0
2024-10-07,Triceps Extension (Dumbbell),11.25,14.0
2024-10-07,Triceps Extension (Dumbbell),11.25,12.0
2024-10-08,Chest Press (Machine),30.0,8.0
2024-10-08,Chest Press (Machine),30.0,9.0
2024-10-08,Chest Press (Machine),30.0,9.0
2024-10-08,Chest Press (Machine),30.0,14.0
2024-10-08,Abdominal Machine,30.0,11.0
2024-10-08,Abdominal Machine,30.0,9.0
2024-10-08,Abdominal Machine,30.0,11.0
2024-10-08,Hammer Curl (Dumbbell),7.5,9.0
2024-10-08,Hammer Curl (Dumbbell),7.5,14.0
2024-10-08,Hammer Curl (Dumbbell),7.5,12.0
2024-10-08,Hammer Curl (Dumbbell),6.0,11.0
2024-10-10,Lat Pulldown (Cable),40.0,15.0
2024-10-10,Lat Pulldown (Cable),33.0,13.0
2024-10-10,Lat Pulldown (Cable),40.0,12.0
2024-10-10,Lat Pulldown (Cable),40.0,7.0
2024-10-10,Triceps Extension (Dumbbell),13.75,14.0
2024-10-10,Triceps Extension (Dumbbell),13.75,7.0
2024-10-10,Triceps Extension (Dumbbell),11.25,13.0
2024-10-10,Triceps Extension (Dumbbell),11.25,13.0
2024-10-10,Lateral Raise (Dumbbell),3.0,17.0
2024-10-10,Lateral Raise (Dumbbell),3.0,13.0
2024-10-10,Lateral Raise (Dumbbell),3.0,9.0
2024-10-10,Lateral Raise (Dumbbell),3.0,10.0
2024-10-11,Chest Press (Machine),30.0,13.0
2024-10-11,Chest Press (Machine),30.0,13.0
2024-10-11,Chest Press (Machine),30.0,10.0
2024-10-11,Chest Press (Machine),30.0,16.0
2024-10-11,Hammer Curl (Dumbbell),7.5,8.0
2024-10-11,Hammer Curl (Dumbbell),7.5,11.0
2024-10-11,Hammer Curl (Dumbbell),7.5,9.0
