Date,"Weight, kg",BMI,Body Fat Percentage,Muscle Percentage,RMI,Visceral Fat Percentage,Calories In
17/12/2020,49.40,16.7,6.5,45.6,1359,1,1500
18/12/2020,49.40,16.7,6.5,45.6,1359,1,1500
19/12/2020,49.40,16.7,6.5,45.6,1359,1,1500
20/12/2020,51.30,17.2,5.5,47.3,1383,1,1500
21/12/2020,51.40,17.2,5.2,47.7,1388,1,600
22/12/2020,51.10,17.1,6.1,46.3,1368,1,1500
23/12/2020,51.10,17.1,6.1,46.3,1368,1,1475
24/12/2020,51.10,17.1,6.1,46.3,1368,1,1700
25/12/2020,51.10,17.1,6.1,46.3,1368,1,2000
26/12/2020,51.70,17.3,6.8,46.1,1380,1,2300
27/12/2020,50.80,17,5.7,46.5,1364,1,2000
28/12/2020,50.80,17,5.7,46.4,1363,1,2600
29/12/2020,51.40,17.2,6.1,46.7,1379,1,2000
30/12/2020,51.00,17.1,5.9,46.5,1369,1,2900
31/12/2020,51.30,17.2,6.1,46.6,1375,1,2250
01/01/2021,51.70,17.3,6.2,46.9,1387,1,1500
02/01/2021,51.40,17.2,5.3,47.6,1387,1,1904
03/01/2021,51.40,17.3,5.5,47.5,1389,1,1911
04/01/2021,51.40,17.2,5.5,47.7,1386,1,2124
05/01/2021,51.50,17.3,5.9,47,1385,1,2200
06/01/2021,51.70,17.3,6.8,46.1,1379,1,1508
07/01/2021,52.60,17.6,6.8,46.9,1406,1,1534
08/01/2021,51.60,17.3,6.6,46.3,1379,1,1562
09/01/2021,51.90,17.4,6.5,46.7,1390,1,1800
10/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
11/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
12/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
13/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
14/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
15/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
16/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
17/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
18/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
19/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
20/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
21/01/2021,52.50,17.6,6.4,47.2,1407,1,1400
22/01/2021,52.50,17.6,6.4,47.2,1407,1,3090
23/01/2021,50.40,16.9,5.4,46.4,1354,1,3354
24/01/2021,51.20,17.3,5.6,47.4,1385,1,3120
25/01/2021,52.00,17.6,6.2,47.4,1401,1,2845
26/01/2021,52.00,17.6,6.2,47.4,1401,1,3556
27/01/2021,51.40,17.4,5.7,47.5,1390,1,3443
28/01/2021,52.10,17.6,6.3,47.3,1402,1,3375
29/01/2021,52.30,17.7,6.8,47,1404,1,2873
30/01/2021,52.80,17.8,8.3,45.7,1402,1,1961
31/01/2021,52.20,17.6,7.3,46.4,1395,1,1822
01/02/2021,51.80,17.5,6.8,46.6,1390,1,2418
02/02/2021,52.50,17.7,7.4,46.4,1402,1,2731
