,Unnamed: 0,Date,Exercise Name,Weight,Reps,Primary Muscle Used,Epley 1RM,Machine Used,Category
0,0,2024-09-19,Hip Abductor (Machine),65.0,10.0,abductors,87,1,"Hip Abductor (Machine, All Variants)"
1,1,2024-09-19,Hip Abductor (Machine),55.0,10.0,abductors,73,1,"Hip Abductor (Machine, All Variants)"
2,2,2024-09-19,Hip Abductor (Machine),65.0,10.0,abductors,87,1,"Hip Abductor (Machine, All Variants)"
3,3,2024-09-19,Seated Leg Curl (Machine),77.16,8.0,hamstrings,98,1,"Seated Leg Curl (Machine, All Variants)"
4,4,2024-09-19,Seated Leg Curl (Machine),77.16,10.0,hamstrings,103,1,"Seated Leg Curl (Machine, All Variants)"
5,5,2024-09-19,Seated Leg Curl (Machine),77.16,11.0,hamstrings,105,1,"Seated Leg Curl (Machine, All Variants)"
6,6,2024-09-19,Seated Leg Curl (Machine),44.09,8.0,hamstrings,56,1,"Seated Leg Curl (Machine, All Variants)"
7,7,2024-09-19,Seated Leg Curl (Machine),55.12,7.0,hamstrings,68,1,"Seated Leg Curl (Machine, All Variants)"
8,8,2024-09-19,Seated Leg Curl (Machine),38.58,10.0,hamstrings,51,1,"Seated Leg Curl (Machine, All Variants)"
9,9,2024-09-19,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
10,10,2024-09-19,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
11,11,2024-09-19,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
12,12,2024-09-19,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
13,13,2024-09-23,Lat Pulldown (Cable),33.0,13.0,lats,47,1,Lat Pulldown (All Variants)
14,14,2024-09-23,Lat Pulldown (Cable),33.0,15.0,lats,50,1,Lat Pulldown (All Variants)
15,15,2024-09-23,Lat Pulldown (Cable),33.0,13.0,lats,47,1,Lat Pulldown (All Variants)
16,16,2024-09-23,Lat Pulldown (Cable),33.0,12.0,lats,46,1,Lat Pulldown (All Variants)
17,17,2024-09-23,Triceps Press down (Rope),11.25,10.0,triceps,15,1,"Triceps Pushdown (Cable, All Variants)"
18,18,2024-09-23,Triceps Press down (Rope),11.25,10.0,triceps,15,1,"Triceps Pushdown (Cable, All Variants)"
19,19,2024-09-23,Triceps Press down (Rope),11.25,12.0,triceps,16,1,"Triceps Pushdown (Cable, All Variants)"
20,20,2024-09-23,Triceps Press down (Rope),11.25,9.0,triceps,15,1,"Triceps Pushdown (Cable, All Variants)"
21,21,2024-09-23,Lateral Raise (Dumbbell),2.5,11.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
22,22,2024-09-23,Lateral Raise (Dumbbell),2.5,10.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
23,23,2024-09-23,Lateral Raise (Dumbbell),2.5,11.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
24,24,2024-09-23,Lateral Raise (Dumbbell),2.5,14.0,delts,4,0,"Lateral Raise (Dumbbell, All Variants)"
25,25,2024-09-24,Chest Press (Machine),25.0,11.0,pecs,34,1,"Chest Press (Machine, All Variants)"
26,26,2024-09-24,Chest Press (Machine),25.0,14.0,pecs,37,1,"Chest Press (Machine, All Variants)"
27,27,2024-09-24,Chest Press (Machine),25.0,14.0,pecs,37,1,"Chest Press (Machine, All Variants)"
28,28,2024-09-24,Chest Press (Machine),20.0,12.0,pecs,28,1,"Chest Press (Machine, All Variants)"
29,29,2024-09-24,Hammer Curl (Dumbbell),7.5,8.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
30,30,2024-09-24,Hammer Curl (Dumbbell),7.0,9.0,biceps,9,0,"Biceps Curl (Dumbbell, All Variants)"
31,31,2024-09-24,Hammer Curl (Dumbbell),5.0,12.0,biceps,7,0,"Biceps Curl (Dumbbell, All Variants)"
32,32,2024-09-24,Hammer Curl (Dumbbell),7.5,12.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
33,33,2024-09-24,Abdominal Machine,25.0,15.0,abs,38,1,"Abdominal (Machine, All Variants)"
34,34,2024-09-24,Abdominal Machine,25.0,13.0,abs,36,1,"Abdominal (Machine, All Variants)"
35,35,2024-09-24,Abdominal Machine,25.0,14.0,abs,37,1,"Abdominal (Machine, All Variants)"
36,36,2024-09-24,Abdominal Machine,25.0,11.0,abs,34,1,"Abdominal (Machine, All Variants)"
37,37,2024-09-25,Triceps Press down (Rope),11.25,9.0,triceps,15,1,"Triceps Pushdown (Cable, All Variants)"
38,38,2024-09-25,Triceps Press down (Rope),11.25,14.0,triceps,16,1,"Triceps Pushdown (Cable, All Variants)"
39,39,2024-09-25,Triceps Press down (Rope),11.25,18.0,triceps,18,1,"Triceps Pushdown (Cable, All Variants)"
40,40,2024-09-25,Triceps Press down (Rope),11.25,11.0,triceps,15,1,"Triceps Pushdown (Cable, All Variants)"
41,41,2024-09-25,Lateral Raise (Dumbbell),2.5,13.0,delts,4,0,"Lateral Raise (Dumbbell, All Variants)"
42,42,2024-09-25,Lateral Raise (Dumbbell),2.5,10.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
43,43,2024-09-25,Lateral Raise (Dumbbell),2.5,13.0,delts,4,0,"Lateral Raise (Dumbbell, All Variants)"
44,44,2024-09-25,Lateral Raise (Dumbbell),2.5,11.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
45,45,2024-09-25,Lat Pulldown (Cable),33.0,10.0,lats,44,1,Lat Pulldown (All Variants)
46,46,2024-09-25,Lat Pulldown (Cable),33.0,12.0,lats,46,1,Lat Pulldown (All Variants)
47,47,2024-09-25,Lat Pulldown (Cable),33.0,12.0,lats,46,1,Lat Pulldown (All Variants)
48,48,2024-09-25,Lat Pulldown (Cable),33.0,10.0,lats,44,1,Lat Pulldown (All Variants)
49,49,2024-09-25,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
50,50,2024-09-25,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
51,51,2024-09-25,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
52,52,2024-09-25,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
53,53,2024-09-27,Hammer Curl (Dumbbell),7.0,10.0,biceps,9,0,"Biceps Curl (Dumbbell, All Variants)"
54,54,2024-09-27,Hammer Curl (Dumbbell),7.0,14.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
55,55,2024-09-27,Hammer Curl (Dumbbell),7.0,12.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
56,56,2024-09-27,Hammer Curl (Dumbbell),7.0,11.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
57,57,2024-09-27,Chest Press (Machine),30.0,9.0,pecs,39,1,"Chest Press (Machine, All Variants)"
58,58,2024-09-27,Chest Press (Machine),30.0,13.0,pecs,43,1,"Chest Press (Machine, All Variants)"
59,59,2024-09-27,Chest Press (Machine),25.0,11.0,pecs,34,1,"Chest Press (Machine, All Variants)"
60,60,2024-09-27,Chest Press (Machine),30.0,11.0,pecs,41,1,"Chest Press (Machine, All Variants)"
61,61,2024-09-27,Abdominal Machine,30.0,11.0,abs,41,1,"Abdominal (Machine, All Variants)"
62,62,2024-09-27,Abdominal Machine,30.0,10.0,abs,40,1,"Abdominal (Machine, All Variants)"
63,63,2024-09-27,Abdominal Machine,30.0,9.0,abs,39,1,"Abdominal (Machine, All Variants)"
64,64,2024-09-27,Calf Stretch,70.0,1.0,,72,0,"Calf Stretch (Machine, All Variants)"
65,65,2024-09-27,Calf Stretch,70.0,1.0,,72,0,"Calf Stretch (Machine, All Variants)"
66,66,2024-09-27,Calf Stretch,70.0,1.0,,72,0,"Calf Stretch (Machine, All Variants)"
67,67,2024-09-27,Calf Stretch,70.0,1.0,,72,0,"Calf Stretch (Machine, All Variants)"
68,68,2024-09-30,Lat Pulldown (Cable),40.0,7.0,lats,49,1,Lat Pulldown (All Variants)
69,69,2024-09-30,Lat Pulldown (Cable),33.0,12.0,lats,46,1,Lat Pulldown (All Variants)
70,70,2024-09-30,Lat Pulldown (Cable),33.0,13.0,lats,47,1,Lat Pulldown (All Variants)
71,71,2024-09-30,Lat Pulldown (Cable),33.0,12.0,lats,46,1,Lat Pulldown (All Variants)
72,72,2024-09-30,Triceps Extension (Dumbbell),11.25,10.0,triceps,15,0,"Triceps Extension (Dumbbell, All Variants)"
73,73,2024-09-30,Triceps Extension (Dumbbell),11.25,11.0,triceps,15,0,"Triceps Extension (Dumbbell, All Variants)"
74,74,2024-09-30,Triceps Extension (Dumbbell),11.25,10.0,triceps,15,0,"Triceps Extension (Dumbbell, All Variants)"
75,75,2024-09-30,Triceps Extension (Dumbbell),11.25,13.0,triceps,16,0,"Triceps Extension (Dumbbell, All Variants)"
76,76,2024-09-30,Lateral Raise (Dumbbell),2.5,10.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
77,77,2024-09-30,Lateral Raise (Dumbbell),2.5,10.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
78,78,2024-09-30,Lateral Raise (Dumbbell),2.5,9.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
79,79,2024-09-30,Lateral Raise (Dumbbell),2.5,13.0,delts,4,0,"Lateral Raise (Dumbbell, All Variants)"
80,80,2024-09-30,Hip Abductor (Machine),55.0,10.0,abductors,73,1,"Hip Abductor (Machine, All Variants)"
81,81,2024-09-30,Hip Abductor (Machine),55.0,10.0,abductors,73,1,"Hip Abductor (Machine, All Variants)"
82,82,2024-09-30,Hip Abductor (Machine),65.0,6.0,abductors,78,1,"Hip Abductor (Machine, All Variants)"
83,83,2024-09-30,Leg Extension (Machine),55.12,6.0,quads,66,1,"Leg Extension (Machine, All Variants)"
84,84,2024-09-30,Leg Extension (Machine),44.09,9.0,quads,57,1,"Leg Extension (Machine, All Variants)"
85,85,2024-09-30,Leg Extension (Machine),44.09,11.0,quads,60,1,"Leg Extension (Machine, All Variants)"
86,86,2024-09-30,Seated Leg Curl (Machine),55.12,9.0,hamstrings,72,1,"Seated Leg Curl (Machine, All Variants)"
87,87,2024-09-30,Seated Leg Curl (Machine),55.12,12.0,hamstrings,77,1,"Seated Leg Curl (Machine, All Variants)"
88,88,2024-09-30,Seated Leg Curl (Machine),55.12,15.0,hamstrings,83,1,"Seated Leg Curl (Machine, All Variants)"
89,89,2024-09-30,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
90,90,2024-09-30,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
91,91,2024-09-30,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
92,92,2024-09-30,Calf Stretch,65.0,1.0,,67,0,"Calf Stretch (Machine, All Variants)"
93,93,2024-10-01,Chest Press (Machine),30.0,17.0,pecs,47,1,"Chest Press (Machine, All Variants)"
94,94,2024-10-01,Chest Press (Machine),30.0,8.0,pecs,38,1,"Chest Press (Machine, All Variants)"
95,95,2024-10-01,Chest Press (Machine),25.0,13.0,pecs,36,1,"Chest Press (Machine, All Variants)"
96,96,2024-10-01,Chest Press (Machine),25.0,11.0,pecs,34,1,"Chest Press (Machine, All Variants)"
97,97,2024-10-01,Abdominal Machine,25.0,12.0,abs,35,1,"Abdominal (Machine, All Variants)"
98,98,2024-10-01,Abdominal Machine,25.0,13.0,abs,36,1,"Abdominal (Machine, All Variants)"
99,99,2024-10-01,Abdominal Machine,30.0,8.0,abs,38,1,"Abdominal (Machine, All Variants)"
100,100,2024-10-01,Hammer Curl (Dumbbell),7.0,9.0,biceps,9,0,"Biceps Curl (Dumbbell, All Variants)"
101,101,2024-10-01,Hammer Curl (Dumbbell),7.0,13.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
102,102,2024-10-01,Hammer Curl (Dumbbell),7.0,13.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
103,103,2024-10-01,Hammer Curl (Dumbbell),7.0,14.0,biceps,10,0,"Biceps Curl (Dumbbell, All Variants)"
104,104,2024-10-02,Lat Pulldown (Cable),22.5,10.0,lats,30,1,Lat Pulldown (All Variants)
105,105,2024-10-02,Lat Pulldown (Cable),22.5,10.0,lats,30,1,Lat Pulldown (All Variants)
106,106,2024-10-02,Lat Pulldown (Cable),25.0,9.0,lats,32,1,Lat Pulldown (All Variants)
107,107,2024-10-02,Lat Pulldown (Cable),22.5,11.0,lats,31,1,Lat Pulldown (All Variants)
108,108,2024-10-02,Triceps Extension (Dumbbell),5.0,11.0,triceps,7,0,"Triceps Extension (Dumbbell, All Variants)"
109,109,2024-10-02,Triceps Extension (Dumbbell),5.0,13.0,triceps,7,0,"Triceps Extension (Dumbbell, All Variants)"
110,110,2024-10-02,Triceps Extension (Dumbbell),5.0,10.0,triceps,7,0,"Triceps Extension (Dumbbell, All Variants)"
111,111,2024-10-02,Triceps Extension (Dumbbell),5.0,11.0,triceps,7,0,"Triceps Extension (Dumbbell, All Variants)"
112,112,2024-10-02,Lateral Raise (Dumbbell),2.0,10.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
113,113,2024-10-02,Lateral Raise (Dumbbell),2.0,11.0,delts,3,0,"Lateral Raise (Dumbbell, All Variants)"
